student_id,section,subsection,problem_id,date_attempted,max_points,score
0,Week 1,Lecture 1,lec1_p0,2018-09-30,1,1
0,Week 1,Lecture 1,lec1_p1,2018-09-30,1,1
0,Week 1,Lecture 1,lec1_p2,2018-11-18,1,0
0,Week 1,Lecture 1,lec1_p3,2018-09-30,1,1
0,Week 1,Lecture 1,lec1_p8,2018-10-31,1,1
0,Week 1,Lecture 2,lec2_p0,2018-10-31,1,1
0,Week 2,Lecture 3,lec3_p2,2018-12-14,1,1
1,Week 1,Lecture 1,lec1_p1,2018-10-30,1,1
1,Week 1,Lecture 1,lec1_p3,2018-09-29,1,1
1,Week 1,Lecture 1,lec1_p6,2018-11-02,1,0
1,Week 1,Lecture 1,lec1_p7,2018-10-30,1,0
1,Week 1,Lecture 2,lec2_p0,2018-11-26,1,1
1,Week 2,Lecture 3,lec3_p0,2018-11-20,1,1
2,Week 1,Lecture 1,lec1_p0,2018-09-17,1,1
3,Week 1,Lecture 1,lec1_p0,2018-09-17,1,0
3,Week 1,Lecture 1,lec1_p4,2018-09-24,1,0
5,Week 1,Lecture 1,lec1_p0,2018-09-17,1,1
5,Week 1,Lecture 1,lec1_p5,2018-09-17,1,0
6,Week 1,Lecture 1,lec1_p0,2018-10-15,1,1
6,Week 1,Lecture 1,lec1_p2,2018-12-09,1,1
6,Week 1,Lecture 1,lec1_p5,2018-11-02,1,1
8,Week 1,Lecture 1,lec1_p3,2018-09-18,1,1
9,Week 1,Lecture 1,lec1_p1,2018-09-17,1,1
11,Week 1,Lecture 1,lec1_p0,2018-09-17,1,0
11,Week 1,Lecture 1,lec1_p1,2018-10-02,1,0
11,Week 1,Lecture 1,lec1_p2,2018-10-02,1,0
11,Week 3,Lecture 5,lec5_p2,2018-09-19,1,0
12,Week 1,Lecture 1,lec1_p8,2018-09-15,1,0
12,Week 2,Lecture 3,lec3_p8,2018-10-25,1,0
13,Week 1,Lecture 1,lec1_p0,2018-09-20,1,0
13,Week 1,Lecture 1,lec1_p1,2018-10-03,1,0
